"H","L0601","051","646762","Purchase History","2",,,,,,,,,,,,,,,,,,,,,,
"F","SUPC","Case Qty","Split Qty","Code","Item Status","Replaced Item","Pack","Size","Unit","Brand","Mfr #","Desc","Cat","Case $","Split $","Per Lb","Market","Splittable","Splits","Min Split","Net Wt","Lead Time","Stock","Substitute","Agr",,
"P","4552044",,,,,,"6",".5 GAL",,"EMERICK'S (SYRUP)","49643","Syrup Maple Amber Grade A","Canned & Dry",260.95,49.99,"N",,true,,1,35,,"STOCKED",,"N",,
"P","1373414",,,,,,"6","32 OZ","OZ","DANNON (YOGURT & WATER)","5801","Yogurt Plain Fat-free","Dairy",22.95,,"N",,false,,0,12.814,,"STOCKED",,"N",,
"P","7274068",,,,,,"1","500 CT","CT","EARTH PLUS","90557","Bag Paper Brown 8 Pound","Paper & Disposable",18.13,,"N",,false,,0,11.9,,"STOCKED",,"N",,
"P","4002432",,,,,,"4","1GAL","GAL","SYSCO RELIANCE","71416SYS","Mayonnaise Heavy Duty","Canned & Dry",51.66,,"N",,false,,0,29.5,,"STOCKED",,"N",,
"P","4109492",,,,,,"2","5 LB","LB","DOLE","26111","Peach Sliced Iqf","Frozen",53.95,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","7075681",,,,,,"4","5LB","LB","IMPOSSIBLE FOODS","","Burger Veggie Impossible Bulk","Frozen",175.75,,"N",,false,,0,20,,"STOCKED",,"N",,
"P","3716503",,,,,,"6","3 LB","LB","PHILADELPHIA CREAM CHEESE","10021000616005","Cheese Cream Soft Original Loaf","Dairy",95.78,19.48,"N",,true,,1,18,,"STOCKED",,"N",,
"P","7992666",,,,,,"4","1 GAL","GAL","GALLIKER'S","706","Milk Skim Fresh","Dairy",20.49,,"N",,false,,0,34,,"STOCKED",,"N",,
"P","7102253",,,,,,"15","6 CT","CT","BAKER'S SOURCE CLASSIC","7102253","Bagel Assorted Sliced 3 Ounce","Frozen",56.65,,"N",,false,,0,16.875,,"STOCKED",,"N",,
"P","0633978",,,,,,"4","10#AV","LB","FIRE RIVER FARMS CLASSIC","0566824","Beef Ground Bulk 73%-27% Chubs Frozen","Meats",3.499,,"Y",,false,,0,40.391,,"STOCKED",,"N",,
"P","5157054",,,,,,"2","5 LB","LB","KUNZLER","02612","Bacon Slab Sliced 12-14 Per Pound","Meats",52.99,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","6375632",,,,,,"3","11-12#","LB","KUNZLER","09300","Ham Boneless Smoked Football Style","Meats",5.291,5.84,"Y",,true,,1,33.861,,"STOCKED",,"N",,
"P","1627645",,,,,,"1","15 LB","LB","HATFIELD MEATS","02223","Bacon Slab Center-cut 14-18 Per Pound Smoked Gas Flushed","Meats",63.95,,"N",,false,,0,15,,"STOCKED",,"N",,
"P","3865649",,,,,,"6","1QT","QT","SYSCO NATURAL","4593","Juice Lemon Pasteurized Ultra Premium","Produce",30.18,,"N",,false,,0,13,,"STOCKED",,"N",,
"P","7234582",,,,"Phased Out",,"100","55 GAL","GAL","SYSCO CLASSIC","KPPL2110","Liner Trash 40x53 .90 Mil Black Roll Linear Low-density Polyethylene (lldpe)","Paper & Disposable",44.46,,"N",,false,,0,12.72,,"NONSTOCK",,"N",,
"P","6035703",,,,,,"1","2000CT","CT","SWEET & LOW","4480052050","Sugar Substitute Pink Packet Bulk","Canned & Dry",29.02,,"N",,false,,0,4.4,,"STOCKED",,"N",,
"P","1675602",,,,,,"4","5 LB","LB","IMPERIAL FRESH","","Lettuce Salad Mix Separated Fresh","Produce",21.81,6.46,"N",,true,,1,20,,"STOCKED",,"N",,
"P","4952511",,,,,,"12","60 CT","CT","MISSION FOODS","6942","Tortilla Corn Yellow Gluten Free 6 Inch","Canned & Dry",50.99,,"N",,false,,0,22.5,,"STOCKED",,"N",,
"P","7557301",,,,,,"1","15 LB","LB","HORMEL","55253","Bacon Layout Applewood 13-17 Per #","Meats",74.95,,"N",,false,,0,15,,"STOCKED",,"N",,
"P","4008116",,,,,,"1","10 LB","LB","KELLOGG'S","3010020248","Cracker Graham Honey","Canned & Dry",40.6,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","4014395",,,,,,"2","25 LB","LB","GOLD MEDAL (GEN MILLS)","14317000","Flour Hotel & Restaurant","Canned & Dry",21.65,,"N",,false,,0,50,,"STOCKED",,"N",,
"P","4518403",,,,,,"1","35LB","LB","SYSCO RELIANCE","5020553","Shortening Fry Liquid Clear Zero Trans Fat","Canned & Dry",31.65,,"N",,false,,0,35,,"STOCKED",,"N",,
"P","4904223",,,,,,"6","#5","CT","SYSCO CLASSIC","0470","Topping Mallo Creme Ready To Use","Canned & Dry",81.51,,"N",,false,,0,25.35,,"STOCKED",,"N",,
"P","2004547",,,,,,"1","1 LB","LB","IMPERIAL FRESH","","Basil Fresh Herb","Produce",16.73,,"N",,false,,0,1,,"STOCKED",,"N",,
"P","7198305",,,,,,"8","5LB","LB","IMPERIAL FRESH","85WAXFCYGRANNY","Apple Granny X-fancy Fresh","Produce",,18.95,"N",,true,,1,40,,"STOCKED",,"N",,
"P","4360901",,,,,,"6","2 LB","LB","WHOLESOME FARMS CLASSIC","STK18131","Yogurt Plain Greek Non-fat","Dairy",33.95,,"N",,false,,0,12,,"NONSTOCK",,"N",,
"P","6638738",,,,,,"16","20OZ","OZ","HOUSE RECIPE IMPERIAL","HOUYA2R","Ketchup Squeeze Red Upside Down","Canned & Dry",32.25,,"N",,false,,0,20,,"STOCKED",,"N",,
"P","7346275",,,,,,"8","16 OZ","OZ","RUFFLES","00028400477369","Chip Potato Ridged Regular","Canned & Dry",38.69,,"N",,false,,0,8,,"STOCKED",,"N",,
"P","7221919",,,,,,"6","16 OZ","OZ","BLOCK & BARREL CLASSIC","358020612","Chip Potato Wavy Ripple","Canned & Dry",26.95,,"N",,false,,0,6,,"STOCKED",,"N",,
"P","7234542",,,,"Phased Out",,"200","23 GAL","GAL","SYSCO CLASSIC","KPPL1630","Liner Trash 28x45 1.3 Mil Black Roll Linear Low-density Polyethylene (lldpe)","Paper & Disposable",37.8,,"N",,false,,0,21.84,,"NONSTOCK",,"N",,
"P","7192671",,,,,,"24","8 FOZ","FOZ","WHOLESOME FARMS CLASSIC","1016244","Milk 2% Btl Esl","Dairy",25.95,,"N",,false,,0,12.93,,"STOCKED",,"N",,
